CDS_ID	Low_A	Low_B	High_A	High_B
CDS_100	10.9805090586493	8.36433191325173	28.1558509890974	0
CDS_10011	2.28476430723449	1.5228539081192	10.2524022623344	0
CDS_10013	9.8338393574537	6.5545057097996	0	0
CDS_10015	7.19428761028002	2.50183142048155	0	0
CDS_10016	0	0	44.9891599274804	0
CDS_10017	18.7386095895666	6.51639811846356	0	7.72548721035573
CDS_10018	30.3170648459961	10.7771199651513	0	19.1651509641517
CDS_10022	11.9524532778463	9.34017063646444	79.5264771564603	30.4838636512154
CDS_10023	0	0	4.49152861016553	5.69478771506222
CDS_10028	0.538970041706597	4.67008531823222	3.02314425684219	30.6642415426427
CDS_1003	1.44764680623673	3.0876597145337	7.7952149432625	3.29450528970542
CDS_10033	10.4152318870329	10.0974817691507	39.3008753389484	18.8543647323006
CDS_10034	0	83.8492591228057	0	0
CDS_10038	0.432506823591714	7.49519865889121	6.79274388574417	0
CDS_1004	0	0	16.5477369848204	10.490398422483
CDS_10040	7.50708272377046	7.3387055000792	0	18.5080600739522
CDS_10043	0	0.496817587045981	7.52569953299012	8.48159872456076
CDS_10044	0	0	8.02058680386702	0
CDS_10048	9.44711533777855	6.82147293674369	0	0
CDS_1005	0	0	8.36188836998902	0
CDS_10050	3.70067458214037	4.60430946867965	11.0706691095629	2.80728971869265
CDS_10051	6.27950944818535	12.7766485121447	5.19068164854036	3.76070886843732
CDS_10052	2.50236090792349	2.66862018184698	1.12288215254138	15.6606662164211
CDS_10053	12.7392918948832	8.49106421496767	26.6336510561469	8.23626322426355
CDS_10054	8.84329485906941	1.36021902472783	0	9.67561019549407
CDS_10058	3.43461301087537	10.0727330393244	3.08242159521164	0
CDS_10059	8.28053973167408	16.9821284299353	14.2912273959812	12.6838453653659
CDS_10061	1.33036909028844	0	6.96471208538326	11.3535324699025
CDS_10062	1.27974621775082	0.426491809884221	5.74259365683265	4.55062945267529
CDS_10064	4.79084481516975	3.59237332171709	20.1542950456146	0
CDS_10066	1.09478289721652	6.56730747876406	0	0
CDS_10067	9.08264329542598	0	43.6676392654982	0
CDS_1007	0.443456363429478	2.9557502014128	0	0
CDS_10071	0	0	0	8.83052525436864
CDS_10076	20.357044142837	67.5269093311956	65.8555208382379	18.8543647323006
CDS_10081	3.2173211673302	4.76539318186961	5.61441076270692	5.08463188844842
CDS_10084	0	0	8.73352785309965	0
